employee_id,employee_name,department,designation,grade,location,manager_name,is_manager,is_fresher,total_prior_exp_years,current_tenure_years,employee_scd_version,completeness_rate,effectiveness_score,engagement_score,skill_gap_index,verified_certs,eng_sig_completion_rate,eng_sig_pass_rate,eng_sig_avg_score,eng_sig_feedback,eng_sig_speed,total_courses,completed_courses,passed_courses,avg_learning_days,avg_days_to_complete,skills,skill_categories,distinct_skill_count,ready_skill_count,certifications,cert_vendors,total_certs,verified_cert_count,completed_course_ids,completed_course_domains,is_first_time_voucher,voucher_eligibility,agent_context_text,_view_refreshed_ts
E10339,Aarav Chatterjee,Ai & Data Science,Senior Data Scientist,P2,Mumbai,Neha Singh,false,false,5,6.65,1,0.00,0,0,100.00,0,0.00,0.00,0,0,0,0,0,0,0,0,None,None,0,0,None,None,0,0,None,None,true,Not Eligible,"Aarav Chatterjee (E10339) is a Senior Data Scientist in Ai & Data Science at grade P2, reporting to Neha Singh. Tenure: 6.7 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 100.00%. Verified certs: 0. Skills: None. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10224,Aarav Iyer,Bi & Analytics,Analyst,P1,Mumbai,Priya Sharma,false,false,2.02,4.49,1,100.00,90,77.35,0.00,1,100.00,100.00,90,0,43.5,1,1,1,544,23,Machine Learning,Data & Analytics,1,1,Enterprise Agile Frameworks Certificate,Coursera,1,1,C1431_CR,Core / Compliance,true,100% Free — First Timer,"Aarav Iyer (E10224) is a Analyst in Bi & Analytics at grade P1, reporting to Priya Sharma. Tenure: 4.5 yrs. Completed 1/1 courses. Effectiveness score: 90.0/100. Engagement score: 77.35/100 (completion=100.00%, pass=100.00%, score=90.0, feedback=0.0, speed=43.5). Skill gap index: 0.00%. Verified certs: 1. Skills: Machine Learning. Certifications: Enterprise Agile Frameworks Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10454,Aarav Jain,Cloud & Platform,Senior Cloud Engineer,P2,Mumbai,Vikram Rao,false,false,5.04,7.12,1,0.00,0,0,100.00,0,0.00,0.00,0,0,0,0,0,0,0,0,SAP,Enterprise Apps,1,0,None,None,0,0,None,None,true,Not Eligible,"Aarav Jain (E10454) is a Senior Cloud Engineer in Cloud & Platform at grade P2, reporting to Vikram Rao. Tenure: 7.1 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 100.00%. Verified certs: 0. Skills: SAP. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10033,Aarav Joshi,Data Engineering,Contractor,P1,Pune,Sneha Iyer,false,false,2.25,3.55,1,50.00,85,49.1,100.00,2,50.00,50.00,42.5,84,5,4,2,2,84,25,Databricks,Data & Analytics,1,0,"Databricks Lakehouse Fundamentals Certification, Azure Data Fundamentals DP-900","Microsoft, Databricks",2,2,C1001_DB,Data & BI,true,100% Free — First Timer,"Aarav Joshi (E10033) is a Contractor in Data Engineering at grade P1, reporting to Sneha Iyer. Tenure: 3.6 yrs. Completed 2/4 courses. Effectiveness score: 85.0/100. Engagement score: 49.1/100 (completion=50.00%, pass=50.00%, score=42.5, feedback=84.0, speed=5.0). Skill gap index: 100.00%. Verified certs: 2. Skills: Databricks. Certifications: Databricks Lakehouse Fundamentals Certification, Azure Data Fundamentals DP-900. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10377,Aarav Mehta,Enterprise Applications,Developer,P1,Noida,Rohan Joshi,false,false,2.04,4.79,1,0.00,0,0,100.00,0,0.00,0.00,0,0,0,0,0,0,0,0,None,None,0,0,None,None,0,0,None,None,true,Not Eligible,"Aarav Mehta (E10377) is a Developer in Enterprise Applications at grade P1, reporting to Rohan Joshi. Tenure: 4.8 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 100.00%. Verified certs: 0. Skills: None. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10416,Aarav Menon,Bi & Analytics,Senior Analyst,P2,Hyderabad,Priya Sharma,false,false,5.01,7.01,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Machine Learning,Data & Analytics,1,1,None,None,0,0,None,None,true,Not Eligible,"Aarav Menon (E10416) is a Senior Analyst in Bi & Analytics at grade P2, reporting to Priya Sharma. Tenure: 7.0 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Machine Learning. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10071,Aarav Mishra,Enterprise Applications,Senior Developer,P2,Hyderabad,Rohan Joshi,false,false,4.04,8.21,1,50.00,87,56.35,0.00,2,50.00,50.00,43.5,96,57.5,4,2,2,174,26,Power Apps,Visualization & BI,1,1,"Azure OpenAI Architect Certification, Delta Lake Core Certification","Microsoft, Databricks",2,2,C1251_MS,Microsoft / Office,true,100% Free — First Timer,"Aarav Mishra (E10071) is a Senior Developer in Enterprise Applications at grade P2, reporting to Rohan Joshi. Tenure: 8.2 yrs. Completed 2/4 courses. Effectiveness score: 87.0/100. Engagement score: 56.35/100 (completion=50.00%, pass=50.00%, score=43.5, feedback=96.0, speed=57.5). Skill gap index: 0.00%. Verified certs: 2. Skills: Power Apps. Certifications: Azure OpenAI Architect Certification, Delta Lake Core Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10109,Aarav Patel,Bi & Analytics,Analyst,P1,Mumbai,Priya Sharma,false,false,1.93,4.42,1,100.00,89,87.4,0.00,1,100.00,100.00,89,84,20,2,2,2,262,20,Power BI,Visualization & BI,1,1,Azure Data Fundamentals DP-900,Microsoft,1,1,C1151_MS,Microsoft / Office,true,100% Free — First Timer,"Aarav Patel (E10109) is a Analyst in Bi & Analytics at grade P1, reporting to Priya Sharma. Tenure: 4.4 yrs. Completed 2/2 courses. Effectiveness score: 89.0/100. Engagement score: 87.4/100 (completion=100.00%, pass=100.00%, score=89.0, feedback=84.0, speed=20.0). Skill gap index: 0.00%. Verified certs: 1. Skills: Power BI. Certifications: Azure Data Fundamentals DP-900. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10185,Aarav Shah,Domain Consulting,Trainee,P1,Hyderabad,Meera Reddy,false,true,0.53,3.14,1,100.00,92,74.5,100.00,1,100.00,100.00,92,0,11,1,1,1,448,25,None,None,0,0,Healthcare Analytics Certificate,Coursera,1,1,C1301_CR,Core / Compliance,true,100% Free — First Timer,"Aarav Shah (E10185) is a Trainee in Domain Consulting at grade P1, reporting to Meera Reddy. Tenure: 3.1 yrs. Completed 1/1 courses. Effectiveness score: 92.0/100. Engagement score: 74.5/100 (completion=100.00%, pass=100.00%, score=92.0, feedback=0.0, speed=11.0). Skill gap index: 100.00%. Verified certs: 1. Skills: None. Certifications: Healthcare Analytics Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10147,Aarav Yadav,Cloud & Platform,Cloud Engineer,P1,Noida,Vikram Rao,false,false,2,5.8,1,100.00,83,85.45,100.00,1,100.00,100.00,83,86,9.5,2,2,2,358,21,None,None,0,0,PySpark Basic Certification,Databricks,1,1,C1011_DB,Data & BI,true,100% Free — First Timer,"Aarav Yadav (E10147) is a Cloud Engineer in Cloud & Platform at grade P1, reporting to Vikram Rao. Tenure: 5.8 yrs. Completed 2/2 courses. Effectiveness score: 83.0/100. Engagement score: 85.45/100 (completion=100.00%, pass=100.00%, score=83.0, feedback=86.0, speed=9.5). Skill gap index: 100.00%. Verified certs: 1. Skills: None. Certifications: PySpark Basic Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
