employee_id,employee_name,department,designation,grade,location,manager_name,current_tenure_years,is_manager,is_fresher,total_prior_exp_years,employee_version_from,employee_scd_version,completeness_rate,effectiveness_score,engagement_score,eng_sig_completion_rate,eng_sig_pass_rate,eng_sig_avg_score,eng_sig_feedback,eng_sig_speed,skill_gap_index,verified_certs,total_courses,completed_courses,passed_courses,total_skills,fully_ready_skills,verified_skills,total_certs,avg_learning_days,avg_days_to_complete,courses_recommended,is_first_time_voucher,voucher_eligibility,_view_refreshed_ts
E10339,Aarav Chatterjee,Ai & Data Science,Senior Data Scientist,P2,Mumbai,Neha Singh,6.65,FALSE,FALSE,5,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10224,Aarav Iyer,Bi & Analytics,Analyst,P1,Mumbai,Priya Sharma,4.49,FALSE,FALSE,2.02,10-06-2026,1,100,90,77.35,100,100,90,0,43.5,0,1,1,1,1,1,1,1,1,544,23,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10454,Aarav Jain,Cloud & Platform,Senior Cloud Engineer,P2,Mumbai,Vikram Rao,7.12,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10033,Aarav Joshi,Data Engineering,Contractor,P1,Pune,Sneha Iyer,3.55,FALSE,FALSE,2.25,10-06-2026,1,50,85,49.1,50,50,42.5,84,5,100,2,4,2,2,1,0,0,2,84,25,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10377,Aarav Mehta,Enterprise Applications,Developer,P1,Noida,Rohan Joshi,4.79,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10416,Aarav Menon,Bi & Analytics,Senior Analyst,P2,Hyderabad,Priya Sharma,7.01,FALSE,FALSE,5.01,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10071,Aarav Mishra,Enterprise Applications,Senior Developer,P2,Hyderabad,Rohan Joshi,8.21,FALSE,FALSE,4.04,10-06-2026,1,50,87,56.35,50,50,43.5,96,57.5,0,2,4,2,2,1,1,1,2,174,26,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10109,Aarav Patel,Bi & Analytics,Analyst,P1,Mumbai,Priya Sharma,4.42,FALSE,FALSE,1.93,10-06-2026,1,100,89,87.4,100,100,89,84,20,0,1,2,2,2,1,1,1,1,262,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10185,Aarav Shah,Domain Consulting,Trainee,P1,Hyderabad,Meera Reddy,3.14,FALSE,TRUE,0.53,10-06-2026,1,100,92,74.5,100,100,92,0,11,100,1,1,1,1,0,0,0,1,448,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10147,Aarav Yadav,Cloud & Platform,Cloud Engineer,P1,Noida,Vikram Rao,5.8,FALSE,FALSE,2,10-06-2026,1,100,83,85.45,100,100,83,86,9.5,100,1,2,2,2,0,0,0,1,358,21,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10374,Aditi Agarwal,Digital Engineering,Lead Engineer,P2,Bangalore,Anjali Patel,8.02,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
