employee_id,employee_name,department,designation,grade,manager_name,completeness_rate,effectiveness_score,engagement_score,eng_sig_completion_rate,eng_sig_pass_rate,eng_sig_avg_score,eng_sig_feedback,eng_sig_speed,verified_certs,is_first_time_voucher,voucher_eligibility,voucher_priority_rank,_view_refreshed_ts
E10188,Meera Singh,Data Engineering,Trainee,P1,Amit Desai,100,90,73.6,100,100,90,0,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10184,Kavya Jain,Domain Consulting,Consultant,P1,Meera Reddy,100,86,76.35,100,100,86,0,41.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10230,Amit Chatterjee,Digital Engineering,Software Engineer,P1,Anjali Patel,100,94,75.7,100,100,94,0,19,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10146,Kavya Verma,Cloud & Platform,Trainee,P1,Vikram Rao,100,94,87.9,100,100,94,90,6,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10177,Reyansh Bose,Ai & Data Science,Data Scientist,P1,Neha Singh,100,81,71.8,100,100,81,0,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10240,Aditya Shah,Bi & Analytics,Contractor,P1,Priya Sharma,100,77,72.7,100,100,77,0,23,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10142,Pooja Iyer,Bi & Analytics,Senior Analyst,P2,Karan Gupta,100,88,89.05,100,100,88,84,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10211,Isha Agarwal,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,85,77.75,100,100,85,0,57.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10126,Kavya Pandey,Bi & Analytics,Analyst,P1,Karan Gupta,100,78,84.45,100,100,78,88,6.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10246,Atharva Gupta,Digital Engineering,Senior Engineer,P2,Anjali Patel,100,78,71.1,100,100,78,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10272,Karan Patel,Bi & Analytics,Analyst,P1,Priya Sharma,100,90,76.85,100,100,90,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10104,Pooja Shah,Domain Consulting,Senior Consultant,P2,Meera Reddy,100,90,91.8,100,100,90,92,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10144,Aditi Menon,Ai & Data Science,Data Scientist,P1,Neha Singh,100,76,89,100,100,76,92,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10259,Aditi Bose,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,85,73.55,100,100,85,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10243,Diya Singh,Cloud & Platform,Trainee,P1,Vikram Rao,100,83,76.8,100,100,83,0,52,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10229,Neha Yadav,Digital Engineering,Lead Engineer,P2,Anjali Patel,100,89,74.35,100,100,89,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10128,Diya Tiwari,Ai & Data Science,Trainee,P1,Neha Singh,100,90,86.6,100,100,90,86,7,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10283,Riya Yadav,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,85,76.8,100,100,85,0,48,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10239,Meera Jain,Bi & Analytics,Senior Analyst,P2,Karan Gupta,100,93,75.15,100,100,93,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10266,Rohan Jain,Domain Consulting,Senior Consultant,P2,Meera Reddy,100,94,74.3,100,100,94,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10181,Vihaan Dubey,Digital Engineering,Software Engineer,P1,Anjali Patel,100,89,78.55,100,100,89,0,57.5,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10299,Kavya Patel,Data Engineering,Data Engineer,P1,Amit Desai,100,93,75.15,100,100,93,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10140,Nidhi Desai,Data Engineering,Trainee,P1,Amit Desai,100,90,87.6,100,100,90,82,23,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10290,Krishna Dubey,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,94,76.45,100,100,94,0,26.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10257,Pooja Chatterjee,Ai & Data Science,Data Scientist,P1,Neha Singh,100,92,74,100,100,92,0,6,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10258,Vihaan Banerjee,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,78,71,100,100,78,0,4,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10277,Meera Joshi,Digital Engineering,Lead Engineer,P2,Anjali Patel,100,89,73.4,100,100,89,0,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10274,Vikram Reddy,Ai & Data Science,Data Scientist,P1,Neha Singh,100,88,76.6,100,100,88,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10209,Ananya Dubey,Ai & Data Science,Data Scientist,P1,Neha Singh,100,92,75,100,100,92,0,16,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10196,Anjali Iyer,Digital Engineering,Software Engineer,P1,Anjali Patel,100,86,72.7,100,100,86,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10219,Pooja Gupta,Data Engineering,Data Engineer,P1,Amit Desai,100,83,73.7,100,100,83,0,21,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10164,Kavya Gupta,Digital Engineering,Software Engineer,P1,Anjali Patel,100,90,90.5,100,100,90,90,40,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10197,Vikram Nair,Digital Engineering,Senior Engineer,P2,Anjali Patel,100,92,74,100,100,92,0,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10227,Meera Pillai,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,93,74.35,100,100,93,0,7.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10203,Kavya Chatterjee,Data Engineering,Data Engineer,P1,Amit Desai,100,93,78.6,100,100,93,0,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10160,Neha Sharma,Ai & Data Science,Data Scientist,P1,Neha Singh,100,86,86.7,100,100,86,80,25,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10251,Shruti Iyer,Data Engineering,Data Engineer,P1,Amit Desai,100,93,79.35,100,100,93,0,57.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10132,Ananya Mehta,Digital Engineering,Lead Engineer,P2,Anjali Patel,100,77,88.3,100,100,77,86,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10271,Priya Kumar,Bi & Analytics,Analyst,P1,Karan Gupta,100,85,77.75,100,100,85,0,57.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10123,Rohan Bose,Data Engineering,Contractor,P1,Sneha Iyer,100,83,90.15,100,100,83,82,62.5,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10195,Karan Joshi,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,83,72.7,100,100,83,0,11,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10220,Vihaan Reddy,Data Engineering,Contractor,P1,Sneha Iyer,100,86,75.2,100,100,86,0,30,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10199,Rohan Pillai,Enterprise Applications,Developer,P1,Rohan Joshi,100,85,73.55,100,100,85,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10113,Rohan Desai,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,92,92,100,100,92,80,66,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10284,Atharva Chatterjee,Data Engineering,Data Engineer,P1,Sneha Iyer,100,90,76.85,100,100,90,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10101,Reyansh Tiwari,Digital Engineering,Senior Engineer,P2,Anjali Patel,100,92,95.4,100,100,92,94,79,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10111,Arjun Reddy,Bi & Analytics,Trainee,P1,Priya Sharma,100,83,93.15,100,100,83,96,71.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10249,Isha Desai,Domain Consulting,Senior Consultant,P2,Meera Reddy,100,81,72.85,100,100,81,0,16.5,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10298,Vivaan Kumar,Domain Consulting,Consultant,P1,Meera Reddy,100,88,73,100,100,88,0,4,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10265,Meera Agarwal,Domain Consulting,Consultant,P1,Meera Reddy,100,89,73.9,100,100,89,0,11,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
